"Status","Date","Description","Debit","Credit"
"Cleared","03/18/2017","SQ *ARTISAN OVEN       WACO          TX 
","8.00",""
"Cleared","03/18/2017","SQ *KOKONUT            AUSTIN        TX 
","9.00",""
"Cleared","03/18/2017","FLINTROCK HILL FARM    KINGSBURY     TX 
","10.00",""
"Cleared","03/18/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","12.15",""
"Cleared","03/18/2017","LOWES #00778*          ROUND ROCK    TX 
","179.44",""
"Cleared","03/18/2017","JOHNSONS BACKYARD GARD AUSTIN        TX 
","26.25",""
"Cleared","03/17/2017","VZWRLSS*APOCC VISE     800-922-0204  FL 
","150.60",""
"Cleared","03/17/2017","TOMLINSON'S CEDAR PARK CEDAR PARK    TX 
","37.17",""
"Cleared","03/17/2017","TERRELL VETERINARY CLI LAKEWAY       TX 
","36.20",""
"Cleared","03/16/2017","AUTOPAY 999990000055374RAUTOPAY AUTO-PMT
","","1,805.23"
"Cleared","03/16/2017","KOLACHE FACTORY #35    AUSTIN        TX 
","5.90",""
"Cleared","03/16/2017","GATEWAY CHURCH         512-837-2162  TX 
","100.00",""
"Cleared","03/15/2017","NEST LABS              08554696378   CA 
","","376.71"
"Cleared","03/13/2017","NEST LABS              08554696378   CA 
","646.25",""
"Cleared","03/13/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","155.72",""
"Cleared","03/12/2017","EINSTEIN BROS BAGELS19 AUSTIN        TX 
","24.08",""
"Cleared","03/10/2017","USPS PO 4804200180     AUSTIN        TX 
","2.67",""
"Cleared","03/10/2017","HOBBY LOBBY ECOMM      405-745-1100  OK 
","34.37",""
"Cleared","03/09/2017","BED BATH & BEYOND #305 ROUND ROCK    TX 
","35.67",""
"Cleared","03/07/2017","KOLACHE FACTORY #35    AUSTIN        TX 
","5.90",""
"Cleared","03/05/2017","SQ *CABI - JEN WHIT    AUSTIN        TX 
","42.00",""
"Cleared","03/05/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","40.26",""
"Cleared","03/04/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","","6.53"
"Cleared","03/04/2017","PAPA JOHN'S 01128      512-249-7272  TX 
","30.61",""
"Cleared","03/04/2017","THE HOME DEPOT #0504   ROUND ROCK    TX 
","1.71",""
"Cleared","03/04/2017","USPS PO 4804200180     AUSTIN        TX 
","2.67",""
"Cleared","03/04/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","3.55",""
"Cleared","03/04/2017","HOBBY LOBBY ECOMM      405-745-1100  OK 
","69.62",""
"Cleared","03/03/2017","HC *BRAND SUPPORTCENTR 800-277-6387  TX 
","32.48",""
"Cleared","03/03/2017","TESOROS TRADING COMPAN AUSTIN        TX 
","41.14",""
"Cleared","03/02/2017","Spotify USA            New York      NY 
","16.08",""
"Cleared","03/02/2017","NORTH AUSTIN           AUSTIN        TX 
","21.18",""
"Cleared","03/01/2017","INDEPENDENT BOOKSTORE  914-4067500   NY 
","29.22",""
"Cleared","03/01/2017","THE HOME DEPOT #6839   AUSTIN        TX 
","64.22",""
"Cleared","02/28/2017","STARBUCKS STORE 13331  AUSTIN        TX 
","5.68",""
"Cleared","02/28/2017","APPLE STORE  #R216     AUSTIN        TX 
","20.57",""
"Cleared","02/27/2017","USPS PO 4804200180     AUSTIN        TX 
","3.12",""
"Cleared","02/27/2017","CHICK-FIL-A #0923      AUSTIN        TX 
","6.33",""
"Cleared","02/27/2017","UDEMY.COM              8888385432    CA 
","10.00",""
"Cleared","02/26/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","94.91",""
"Cleared","02/25/2017","SIP SAAM THAI RESTAURA AUSTIN        TX 
","28.57",""
"Cleared","02/25/2017","TOMLINSON'S ALLENDALE  AUSTIN        TX 
","69.20",""
"Cleared","02/25/2017","THE HOME DEPOT #6839   AUSTIN        TX 
","128.30",""
"Cleared","02/24/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","","19.45"
"Cleared","02/24/2017","SALVATION PIZZA        AUSTIN        TX 
","12.77",""
"Cleared","02/24/2017","TARGET        00017970 AUSTIN        TX 
","55.49",""
"Cleared","02/24/2017","THE HOME DEPOT #6839   AUSTIN        TX 
","19.45",""
"Cleared","02/24/2017","SEARS ROEBUCK   7936   08004694663   TX 
","31.92",""
"Cleared","02/24/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","164.51",""
"Cleared","02/24/2017","TERRELL VETERINARY CLI LAKEWAY       TX 
","533.68",""
"Cleared","02/23/2017","KOLACHE FACTORY #35    AUSTIN        TX 
","6.35",""
"Cleared","02/23/2017","USPS PO 4804200180     AUSTIN        TX 
","15.14",""
"Cleared","02/23/2017","ABEES HITECH AUTO SERV AUSTIN        TX 
","69.75",""
"Cleared","02/23/2017","KEMPER INSURANCE       877-252-7878  FL 
","192.91",""
"Cleared","02/23/2017","THE HOME DEPOT #6839   AUSTIN        TX 
","18.20",""
"Cleared","02/22/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","4.20",""
"Cleared","02/21/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","113.78",""
"Cleared","02/22/2017","LOWES #01727*          AUSTIN        TX 
","","19.44"
"Cleared","02/21/2017","STARBUCKS STORE 06341  AUSTIN        TX 
","5.68",""
"Cleared","02/20/2017","WALGREENS #11853       AUSTIN        TX 
","3.02",""
"Cleared","02/19/2017","EINSTEIN BROS BAGELS19 AUSTIN        TX 
","8.31",""
"Cleared","02/19/2017","RUDY'S COUNTRY STO     AUSTIN        TX 
","21.40",""
"Cleared","02/19/2017","TWC*TIME WARNER CABLE  888-TWCABLE   TX 
","73.19",""
"Cleared","02/18/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","","111.57"
"Cleared","02/18/2017","BED BATH & BEYOND #571 AUSTIN        TX 
","19.47",""
"Cleared","02/18/2017","SQ *SLAB BBQ & BEER    AUSTIN        TX 
","29.06",""
"Cleared","02/18/2017","TJMAXX #0566           CEDAR PARK    TX 
","77.86",""
"Cleared","02/17/2017","VZWRLSS*APOCC VISE     800-922-0204  FL 
","96.36",""
"Cleared","02/17/2017","THAIKUN                AUSTIN        TX 
","15.70",""
"Cleared","02/17/2017","ANDERSON MILL ANIMAL C AUSTIN        TX 
","159.30",""
"Cleared","02/17/2017","THE HOME DEPOT #6839   AUSTIN        TX 
","11.84",""
"Cleared","02/16/2017","AUTOPAY 999990000055374RAUTOPAY AUTO-PMT
","","3,044.88"
"Cleared","02/16/2017","CHICK-FIL-A #0923      AUSTIN        TX 
","6.33",""
"Cleared","02/16/2017","GATEWAY CHURCH         512-837-2162  TX 
","100.00",""
"Cleared","02/15/2017","GREATER AUSTIN ALLERGY 855-347-3685  TX 
","11.87",""
"Cleared","02/15/2017","STARBUCKS STORE 13331  AUSTIN        TX 
","4.60",""
"Cleared","02/14/2017","GREEN ALLEY SALON      AUSTIN        TX 
","51.00",""
"Cleared","02/11/2017","SMOKEY MOS BBQ - AUSTI AUSTIN        TX 
","16.26",""
"Cleared","02/10/2017","USPS PO 4804200180     AUSTIN        TX 
","2.67",""
"Cleared","02/10/2017","BAMBOO BISTRO          AUSTIN        TX 
","24.08",""
"Cleared","02/10/2017","ANDERSON MILL ANIMAL C AUSTIN        TX 
","44.00",""
"Cleared","02/10/2017","ANDERSON MILL ANIMAL C AUSTIN        TX 
","74.90",""
"Cleared","02/09/2017","THE HOME DEPOT #6839   AUSTIN        TX 
","38.71",""
"Cleared","02/08/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","","5.71"
"Cleared","02/08/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","334.46",""
"Cleared","02/07/2017","LOWES #01727*          AUSTIN        TX 
","57.29",""
"Cleared","02/07/2017","TJMAXX #0566           CEDAR PARK    TX 
","135.24",""
"Cleared","02/06/2017","USPS PO 4804200180     AUSTIN        TX 
","5.70",""
"Cleared","02/06/2017","PETSMART # 1244        AUSTIN        TX 
","88.58",""
"Cleared","02/05/2017","SIP SAAM THAI RESTAURA AUSTIN        TX 
","24.68",""
"Cleared","02/05/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","132.67",""
"Cleared","02/04/2017","COST PLUS WLD #74      AUSTIN        TX 
","72.93",""
"Cleared","02/03/2017","UDEMY.COM              8888385432    CA 
","15.00",""
"Cleared","02/02/2017","SMOKEY MOS BBQ - AUSTI AUSTIN        TX 
","10.55",""
"Cleared","02/02/2017","Spotify USA            New York      NY 
","16.08",""
"Cleared","02/02/2017","BIRDS BARBERSHOP DOMAI AUSTIN        TX 
","30.00",""
"Cleared","02/02/2017","STARBUCKS STORE 13331  AUSTIN        TX 
","5.36",""
"Cleared","02/01/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","8.81",""
"Cleared","01/30/2017","ROOSTER'S PAINT & DECO ROUND ROCK    TX 
","67.70",""
"Cleared","01/30/2017","BLUE STARLITE MINI U   AUSTIN        TX 
","77.25",""
"Cleared","01/28/2017","JACK ALLENS KITCHEN    AUSTIN        TX 
","21.31",""
"Cleared","01/27/2017","TST* GENERAL TSO'BOY   AUSTIN        TX 
","8.66",""
"Cleared","01/27/2017","FONDA SAN MIGUEL       AUSTIN        TX 
","90.99",""
"Cleared","01/27/2017","IKEA ROUND ROCK        ROUND ROCK    TX 
","183.87",""
"Cleared","01/25/2017","YARD HOUSE 83600083667 AUSTIN        TX 
","24.77",""
"Cleared","01/24/2017","USPS PO 4804200180     AUSTIN        TX 
","3.99",""
"Cleared","01/24/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","12.43",""
"Cleared","01/23/2017","UDEMY.COM              8888385432    CA 
","15.00",""
"Cleared","01/21/2017","ROOSTER'S PAINT & DECO ROUND ROCK    TX 
","84.33",""
"Cleared","01/19/2017","TWC*TIME WARNER CABLE  888-TWCABLE   TX 
","73.19",""
"Cleared","01/19/2017","STARBUCKS STORE 06341  AUSTIN        TX 
","5.68",""
"Cleared","01/19/2017","SALVATION PIZZA        AUSTIN        TX 
","12.77",""
"Cleared","01/18/2017","SQ *MASALA WOK @ AR    AUSTIN        TX 
","15.48",""
"Cleared","01/17/2017","VZWRLSS*APOCC VISE     800-922-0204  FL 
","177.72",""
"Cleared","01/16/2017","AUTOPAY 999990000055374RAUTOPAY AUTO-PMT
","","2,789.57"
"Cleared","01/16/2017","BEST BUY      00001784 CEDAR PARK    TX 
","23.58",""
"Cleared","01/16/2017","GATEWAY CHURCH         512-837-2162  TX 
","100.00",""
"Cleared","01/15/2017","TARGET        00017970 AUSTIN        TX 
","54.43",""
"Cleared","01/14/2017","NETFLIX.COM            NETFLIX.COM   CA 
","10.81",""
"Cleared","01/14/2017","FIRE IN THE HOLE       ROUND ROCK    TX 
","48.05",""
"Cleared","01/12/2017","ALAMO VILLAGE REST     AUSTIN        TX 
","45.21",""
"Cleared","01/11/2017","SP * SWEET WATER DECOR 7249919213    PA 
","23.99",""
"Cleared","01/10/2017","ALAMO VILLAGE RETAIL   512-861-7030  TX 
","25.66",""
"Cleared","01/09/2017","UDEMY.COM              8888385432    CA 
","10.00",""
"Cleared","01/08/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","9.50",""
"Cleared","01/07/2017","CHICK-FIL-A #0676      AUSTIN        TX 
","15.57",""
"Cleared","01/06/2017","WENDY'S 114            AUSTIN        TX 
","7.24",""
"Cleared","01/06/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","14.80",""
"Cleared","01/05/2017","MICHI RAMEN            AUSTIN        TX 
","58.48",""
"Cleared","01/04/2017","UDEMY.COM              8888385432    CA 
","10.00",""
"Cleared","01/03/2017","GREEN ALLEY SALON      AUSTIN        TX 
","49.00",""
"Cleared","01/02/2017","Spotify USA            New York      NY 
","16.08",""
"Cleared","01/02/2017","CHICK-FIL-A #0676      AUSTIN        TX 
","5.50",""
"Cleared","01/02/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","22.12",""
"Cleared","01/02/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","49.11",""
"Cleared","01/01/2017","SP * DRONEPARTSPRO     4155470914    TX 
","32.45",""
"Cleared","12/31/2016","SHORT STOP # 2         AUSTIN        TX 
","6.38",""
"Cleared","12/31/2016","TARGET        00017970 AUSTIN        TX 
","26.94",""
"Cleared","12/31/2016","UDEMY.COM              8888385432    CA 
","30.00",""
"Cleared","12/31/2016","THE HOME DEPOT #0509   AUSTIN        TX 
","54.01",""
"Cleared","12/31/2016","HEB  #659              AUSTIN        TX 
","103.96",""
"Cleared","12/31/2016","WOODCRAFT 328          AUSTIN        TX 
","16.22",""
"Cleared","12/30/2016","TWC*TIME WARNER CABLE  888-TWCABLE   TX 
","73.19",""
"Cleared","12/30/2016","THAIKUN                AUSTIN        TX 
","14.60",""
"Cleared","12/30/2016","GATEWAY CHURCH         512-837-2162  TX 
","200.00",""
"Cleared","12/29/2016","HEB  #388              AUSTIN        TX 
","7.50",""
"Cleared","12/29/2016","CHICK-FIL-A #0537      AUSTIN        TX 
","6.33",""
"Cleared","12/28/2016","CHICK-FIL-A #02826     HOUSTON       TX 
","7.31",""
"Cleared","12/28/2016","COS PIKE'S PERK AIRS   COLORADO SPRI CO 
","25.59",""
"Cleared","12/28/2016","UNITED  01626087093385 800-932-2732  TX 
","50.00",""
"Cleared","12/27/2016","RESORT OUTFITTE        SAN FRANCIS   CA 
","150.00",""
"Cleared","12/27/2016","SQ *MIC CLIK PHOTOG    COLORADO SPRI CO 
","150.00",""
"Cleared","12/27/2016","THE BROADMOOR FOOD&BEV COLORADO SPGS CO 
","7.23",""
"Cleared","12/27/2016","ROCKHOUNDS             COLORADO SPRI CO 
","7.58",""
"Cleared","12/27/2016","THE BROADMOOR FOOD&BEV COLORADO SPGS CO 
","16.68",""
"Cleared","12/27/2016","SEVEN FALLS            COLORADO SPRG CO 
","16.82",""
"Cleared","12/27/2016","THE BROADMOOR FOOD&BEV COLORADO SPGS CO 
","23.03",""
"Cleared","12/27/2016","THE BROADMOOR RETAIL   COLORADO SPGS CO 
","85.65",""
"Cleared","12/26/2016","COG RAILWAY GIFT SHOP  MANITOU SPRIN CO 
","6.53",""
"Cleared","12/26/2016","MUSHROOM MONDAY        MANITOU SPGS  CO 
","14.16",""
"Cleared","12/26/2016","COG RAILWAY GIFT SHOP  MANITOU SPRIN CO 
","28.34",""
"Cleared","12/26/2016","90112 - CITY OF MANITO MANITOU SPGS  CO 
","2.00",""
"Cleared","12/26/2016","THE BROADMOOR FOOD&BEV COLORADO SPGS CO 
","8.01",""
"Cleared","12/26/2016","SALUS - MANITOU SPRING MANITOU SPRIN CO 
","19.57",""
"Cleared","12/26/2016","THE BROADMOOR RETAIL   COLORADO SPGS CO 
","316.00",""
"Cleared","12/26/2016","MOUNTAIN HIGH SPORTSWE MANITOU SPGS  CO 
","13.05",""
"Cleared","12/25/2016","THE BROADMOOR FOOD&BEV COLORADO SPGS CO 
","6.56",""
"Cleared","12/25/2016","THE BROADMOOR FOOD&BEV COLORADO SPGS CO 
","12.18",""
"Cleared","12/25/2016","THE BROADMOOR FOOD&BEV COLORADO SPGS CO 
","23.31",""
"Cleared","12/25/2016","THE BROADMOOR RETAIL   COLORADO SPGS CO 
","81.20",""
"Cleared","12/23/2016","PANDA EXPRESS #2239    HOUSTON       TX 
","12.13",""
"Cleared","12/23/2016","CHICK-FIL-A #02826     HOUSTON       TX 
","16.33",""
"Cleared","12/23/2016","STARBUCKS B SO22301592 HOUSTON       TX 
","38.70",""
"Cleared","12/22/2016","PANERA BREAD #204038   SPRING        TX 
","21.10",""
"Cleared","12/22/2016","BUC-EE'S #16           GIDDINGS      TX 
","26.93",""
"Cleared","12/22/2016","SAMSONITE FCTRY OTLT 2 CYPRESS       TX 
","324.72",""
"Cleared","12/20/2016","GREATER AUSTIN ALLERGY 512-507-5362  TX 
","9.04",""
"Cleared","12/19/2016","STARBUCKS STORE 06373  AUSTIN        TX 
","3.95",""
"Cleared","12/18/2016","TARGET        00017970 AUSTIN        TX 
","40.08",""
"Cleared","12/18/2016","TRADER JOE'S #454 QPS  AUSTIN        TX 
","70.31",""
"Cleared","12/18/2016","HEB  #659              AUSTIN        TX 
","83.36",""
"Cleared","12/18/2016","THE HOME DEPOT #0509   AUSTIN        TX 
","9.17",""
"Cleared","12/17/2016","VZWRLSS*APOCC VISE     800-922-0204  FL 
","144.47",""
"Cleared","12/17/2016","SMASHBURGER #1283      AUSTIN        TX 
","13.92",""
"Cleared","12/17/2016","HEB  #659              AUSTIN        TX 
","60.31",""
"Cleared","12/17/2016","SQ *CABI - JEN WHIT    AUSTIN        TX 
","225.00",""
"Cleared","12/16/2016","AUTOPAY 999990000055374RAUTOPAY AUTO-PMT
","","1,799.30"
"Cleared","12/16/2016","JINYA RAMEN BAR        AUSTIN        TX 
","18.70",""
"Cleared","12/16/2016","GATEWAY CHURCH         512-837-2162  TX 
","100.00",""
"Cleared","12/15/2016","Q ALTERATIONS AND CLEA AUSTIN        TX 
","25.43",""
"Cleared","12/15/2016","HEB  #388              AUSTIN        TX 
","65.22",""
"Cleared","12/14/2016","NETFLIX.COM            NETFLIX.COM   CA 
","10.81",""
"Cleared","12/14/2016","TARRYTOWN DENTAL       AUSTIN        TX 
","24.00",""
"Cleared","12/13/2016","CABI, LLC              03106383333   CA 
","303.00",""
"Cleared","12/11/2016","LOWES #00590*          AUSTIN        TX 
","14.59",""
"Cleared","12/11/2016","HEB  #659              AUSTIN        TX 
","66.62",""
"Cleared","12/09/2016","HEB  #388              AUSTIN        TX 
","49.89",""
"Cleared","12/09/2016","YARD HOUSE 83600083667 AUSTIN        TX 
","25.92",""
"Cleared","12/08/2016","SQ *SQ *MICHAEL JACOBS Cedar Park    TX 
","6.00",""
"Cleared","12/07/2016","WENDY'S 105            AUSTIN        TX 
","8.75",""
"Cleared","12/07/2016","HEB  #388              AUSTIN        TX 
","60.70",""
"Cleared","12/06/2016","BIRDS BARBERSHOP DOMAI AUSTIN        TX 
","30.00",""
"Cleared","12/05/2016","CORNER STORE 2110      AUSTIN        TX 
","2.05",""
"Cleared","12/04/2016","HEB  #659              AUSTIN        TX 
","118.35",""
"Cleared","12/03/2016","ALAMO LAKELINE REST    AUSTIN        TX 
","37.66",""
"Cleared","12/02/2016","TST* GENERAL TSO'BOY   AUSTIN        TX 
","12.45",""
"Cleared","12/02/2016","Spotify USA            New York      NY 
","16.08",""
"Cleared","12/02/2016","HEB  #388              AUSTIN        TX 
","20.82",""
"Cleared","12/01/2016","ALAMO LAKELINE RETAIL  512-861-7070  TX 
","26.74",""
"Cleared","11/30/2016","GUS'S FRIED CHICKE     AUSTIN        TX 
","12.28",""
"Cleared","11/30/2016","AUSTIN CONV CENTER PKG 512-404-4059  TX 
","18.00",""
"Cleared","11/30/2016","WHOLEFDS LMR 10145     AUSTIN        TX 
","27.32",""
"Cleared","11/30/2016","JW MARRIOTT AUSTIN F&B AUSTIN        TX 
","17.00",""
"Cleared","11/29/2016","JACK IN THE BOX #0906  AUSTIN        TX 
","5.73",""
"Cleared","11/29/2016","GUS'S FRIED CHICKE     AUSTIN        TX 
","13.98",""
"Cleared","11/29/2016","AUSTIN CONV CENTER PKG 512-404-4059  TX 
","18.00",""
"Cleared","11/29/2016","A CLOUD GURU           447543359204  GBR
","55.00",""
"Cleared","11/28/2016","7-ELEVEN 36589         AUSTIN        TX 
","1.94",""
"Cleared","11/27/2016","THE HOME DEPOT #6839   AUSTIN        TX 
","","13.95"
"Cleared","11/27/2016","TRADER JOE'S #454 QPS  AUSTIN        TX 
","89.97",""
"Cleared","11/27/2016","THE HOME DEPOT #6839   AUSTIN        TX 
","14.36",""
"Cleared","11/27/2016","THE HOME DEPOT #6839   AUSTIN        TX 
","53.89",""
"Cleared","11/26/2016","KOLACHE FACTORY 041    HOUSTON       TX 
","11.40",""
"Cleared","11/26/2016","HEB  #388              AUSTIN        TX 
","14.58",""
"Cleared","11/26/2016","BUC-EE'S #18           WALLER        TX 
","24.13",""
"Cleared","11/26/2016","SADDLEHORN WINERY      BURTON        TX 
","35.17",""
"Cleared","11/25/2016","ARAMARK GEORGE R BROWN HOUSTON       TX 
","10.50",""
"Cleared","11/25/2016","HMNS GIFT SHOP         HOUSTON       TX 
","34.42",""
"Cleared","11/25/2016","CHICK-FIL-A #02826     HOUSTON       TX 
","9.23",""
"Cleared","11/24/2016","BUC-EE'S #18           WALLER        TX 
","19.48",""
"Cleared","11/23/2016","PAPA JOHN'S 01128      512-249-7272  TX 
","27.78",""
"Cleared","11/23/2016","HEB  #388              AUSTIN        TX 
","17.45",""
"Cleared","11/23/2016","ACT*Linux Foundation   877-551-5560  TX 
","480.00",""
"Cleared","11/22/2016","HEB  #388              AUSTIN        TX 
","42.24",""
"Cleared","11/22/2016","CHICK-FIL-A #0537      AUSTIN        TX 
","6.33",""
